Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Fondling,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,Fraud Offenses,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Impersonation,Larceny/Theft Offenses,Pocket picking,Purse snatching,Shoplifting,Theft From Building,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug/Narcotic Offenses,Drug/Narcotic Violations,Drug Equipment Violations,Weapon Law Violations
31,8,18,5,3,3,2,1,0,0,0,0,6,3,8,0,0,2,0,2,0,23,0,0,0,2,1,0,20,0,1,2,67,31,36,2
30,6,11,13,0,1,1,0,0,0,1,0,4,1,5,0,0,2,1,1,0,14,0,0,0,1,0,2,11,1,0,5,102,53,49,4
20,2,9,9,3,1,0,1,0,0,0,0,8,7,10,0,0,0,0,0,0,9,0,0,0,0,1,0,8,2,1,2,21,14,7,2
7,3,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,1,0,8,0,0,0,1,0,0,7,2,0,0,5,3,2,1
95,11,44,40,1,4,3,1,0,0,1,0,16,9,31,0,0,11,4,5,2,52,0,0,6,1,4,0,41,2,4,4,11,10,1,12
10,0,8,2,0,0,0,0,0,0,0,0,4,2,7,0,0,3,1,2,0,21,0,1,1,0,4,0,15,0,0,1,30,20,10,3
53,5,19,29,0,4,1,3,0,0,0,0,12,5,17,0,0,8,0,7,1,35,0,0,4,2,6,0,23,5,0,1,39,16,23,5
46,7,22,17,1,2,2,0,0,0,0,0,8,2,13,0,0,2,0,0,2,25,0,0,0,0,4,0,21,3,1,1,214,107,107,7
10309,2387,5238,2684,74,295,188,19,83,3,45,0,1779,691,4050,1,0,1755,336,1064,353,9395,3,5,2302,1756,2281,742,2300,1061,395,369,1871,1039,832,295
97,16,48,33,3,5,2,3,0,0,1,0,15,14,36,0,0,9,5,4,0,109,0,0,4,4,7,0,94,4,2,4,84,50,34,2
67,24,30,13,1,5,2,1,2,0,0,0,38,13,50,0,0,11,5,6,0,99,0,0,3,15,28,5,48,10,1,10,154,78,76,6
8,0,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12,2,5,5,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,17,10,7,3
73,11,56,6,1,2,2,0,0,0,2,0,96,4,159,0,0,46,25,20,1,256,3,2,35,53,18,2,142,2,1,0,154,112,42,10
195,19,111,65,7,5,3,2,0,0,2,0,52,5,99,0,0,19,5,2,12,90,0,0,18,5,12,3,52,13,2,4,63,36,27,9
525,99,229,197,5,27,9,3,15,0,1,0,61,16,205,0,0,57,39,17,1,306,1,1,26,6,29,4,237,27,11,13,137,95,42,18
51,17,25,9,1,1,0,0,1,0,0,0,13,10,11,0,0,5,3,1,1,32,0,0,3,4,3,1,21,6,0,0,37,23,14,1
28,5,13,10,0,1,0,0,1,0,0,0,9,0,23,0,0,2,0,0,2,35,0,0,1,1,3,0,30,1,1,1,35,22,13,2
27,2,14,11,0,1,1,0,0,0,1,0,4,2,4,0,0,2,0,2,0,9,0,0,1,0,0,0,8,1,0,0,70,32,38,2
167,18,81,68,2,7,1,0,4,0,2,0,66,41,105,0,0,51,20,30,1,233,0,1,38,2,66,9,117,19,5,14,123,71,52,10
59,7,31,21,0,2,1,1,0,0,0,0,16,3,17,0,0,4,0,3,1,46,0,0,3,2,5,1,35,4,1,13,36,19,17,5
29,9,11,9,0,2,1,1,0,0,0,0,9,4,12,0,0,3,1,0,2,19,1,0,0,3,5,0,10,5,0,3,11,5,6,2
