State,Agency Type,Agency Name,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With an Object,Fondling,Incest,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,Fraud Offenses,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Impersonation,Welfare Fraud,Wire Fraud,Identity Theft,Hacking/Computer Invasion,Larceny/Theft Offenses,Pocket picking,Purse snatching,Shoplifting,Theft From Building,Theft From Coin Operated Machine or Device,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Animal Cruelty,Drug/Narcotic Offenses,Drug/Narcotic Violations,Drug Equipment Violations,Gambling Offenses,Betting/Wagering,Operating/Promoting/Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Pornography/Obscene Material,Prostitution Offenses,Prostitution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations,State Total
TEXAS,Cities,Honey Grove,"1,718",51,15,35,1,14,0,13,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,1,4,0,0,5,1,4,0,0,0,0,0,12,0,0,0,0,0,1,1,10,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,879278
TEXAS,Cities,Horseshoe Bay,"4,030",100,26,43,31,23,5,16,2,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,10,3,4,0,0,8,7,1,0,0,0,0,0,17,1,0,5,1,0,4,0,6,1,0,0,0,30,21,9,0,0,0,0,0,0,0,0,0,0,1,879278
TEXAS,Cities,Houston,"2,355,606","226,884","64,078","148,756","14,050","61,415","14,715","30,992","15,708",284,275,9,0,132,129,3,231,"2,016",798,487,13,601,1,116,485,9,"16,910","2,877","21,621",580,177,"10,518","3,095","3,956",502,6,54,"2,808",97,"72,936",278,516,"10,791","3,552",186,"33,101","5,872","18,640","13,080","9,189",374,330,"10,199","9,014","1,185",38,11,10,17,0,278,"1,064",683,73,308,"2,141",879278
TEXAS,Cities,Hudson Oaks,"2,515",109,11,85,13,11,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,0,0,0,0,0,0,0,0,0,0,57,0,0,1,0,0,4,1,51,6,3,0,0,12,11,1,0,0,0,0,0,0,0,0,0,0,1,879278
TEXAS,Cities,Huntington,"2,107",45,9,34,2,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,2,0,0,1,0,1,0,0,0,0,0,11,0,0,2,0,0,0,0,9,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,879278
TEXAS,Cities,Idalou,"2,289",52,14,17,21,7,4,3,0,0,0,0,0,0,0,0,0,7,4,2,0,1,0,0,0,0,1,3,4,0,0,1,1,0,0,0,0,0,0,6,0,0,1,0,0,1,0,4,2,0,0,0,19,15,4,0,0,0,0,0,0,0,0,0,0,2,879278
TEXAS,Cities,Ingram,"1,888",80,13,42,25,13,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,1,0,0,0,0,0,1,0,17,0,0,2,1,0,0,1,13,2,0,2,0,25,15,10,0,0,0,0,0,0,0,0,0,0,0,879278
TEXAS,Cities,Iowa Park,"6,369",140,31,65,44,25,2,20,3,0,0,0,0,0,0,0,0,6,1,0,0,4,0,1,0,0,8,1,8,1,0,5,2,2,1,0,0,0,0,36,1,1,0,1,0,12,2,19,4,0,2,2,38,31,7,0,0,0,0,0,2,0,0,0,0,2,879278
TEXAS,Cities,Jarrell,"1,800",50,13,24,13,12,0,11,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,3,0,0,6,6,0,0,0,0,0,0,8,0,0,1,0,1,2,0,4,2,0,0,0,13,10,3,0,0,0,0,0,0,0,0,0,0,0,879278
TEXAS,Cities,Jasper,"7,647",751,187,484,80,177,27,130,20,1,1,0,0,1,0,1,1,7,0,0,0,7,0,0,1,0,57,52,74,0,0,15,7,0,8,0,0,0,0,261,0,0,79,0,0,35,0,147,24,0,0,0,73,73,0,0,0,0,0,0,0,0,0,0,0,7,879278
